Consistently Whiffs,Gods with Attitude,Consistently Whiffs,de_inferno,Loss,16-10,Jun 25 18
Consistently Whiffs,DreamTanks,Consistently Whiffs,de_inferno,Win,13-16,Jun 28 18
Consistently Whiffs,Consistently Whiffs,Team Digital Dynasty,de_mirage,Loss,14-16,Jul 2 18
Consistently Whiffs,Night Prowlers CS,Consistently Whiffs,de_nuke,Loss,22-19,Jul 6 18
Consistently Whiffs,Table Flipping 5,Consistently Whiffs,de_mirage,Win,15-19,Jul 9 18
Consistently Whiffs,Consistently Whiffs,Probably Panicking,de_inferno,Win,16-12,Jul 13 18
Consistently Whiffs,Consistently Whiffs,Falcons-GG,de_train,Win,16-13,Jul 16 18
Consistently Whiffs,Consistently Whiffs,Quixotic Reality,Multiple,Win,2-0,Jul 27 18
Consistently Whiffs,Hedgehogs,Consistently Whiffs,Multiple,Win,1-2,Aug 3 18
Consistently Whiffs,Consistently Whiffs,AngGang,Multiple,Loss,0-2,Aug 7 18
NO EXECUTES,The Myrmidons,NO EXECUTES,de_inferno,Win,12-16,May 21 18
NO EXECUTES,Silent Assassins,NO EXECUTES,de_train,Win,10-16,May 28 18
NO EXECUTES,2 Pound Sandwich,NO EXECUTES,de_mirage,Win,12-16,May 29 18
NO EXECUTES,NO EXECUTES,Malice Gaming,de_cache,Win,16-5,Jun 4 18
NO EXECUTES,NO EXECUTES,Mind Bending Perf...,de_inferno,Win,16-9,Jun 5 18
NO EXECUTES,NO EXECUTES,La-Li-Lu-Le-Lo,de_nuke,Loss,15-19,Jun 9 18
NO EXECUTES,NO EXECUTES,But What If,de_inferno,Loss,16-19,Jun 15 18
NO EXECUTES,hitbox-,NO EXECUTES,de_cache,Win,9-16,Jun 18 18
NO EXECUTES,Lore,NO EXECUTES,de_train,Loss,19-16,Jun 22 18
NO EXECUTES,NO EXECUTES,For The Community,de_dust2,Win,16-12,Jun 25 18
NO EXECUTES,NO EXECUTES,No Shift Nation,de_inferno,Loss,5-16,Jun 27 18
NO EXECUTES,NO EXECUTES,Mobility-Gaming,de_cache,Win,19-17,Jul 2 18
NO EXECUTES,bld,NO EXECUTES,de_mirage,Loss,16-10,Jul 9 18
NO EXECUTES,AngGang,NO EXECUTES,de_cache,Win,12-16,Jul 9 18
NO EXECUTES,NO EXECUTES,Higher Power,de_inferno,Win,16-9,Jul 12 18
NO EXECUTES,Aerox-Esports,NO EXECUTES,de_dust2,Loss,16-0,Jul 14 18
NO EXECUTES,Empire,NO EXECUTES,Multiple,Win,0-2,Jul 30 18
NO EXECUTES,NO EXECUTES,Table Flipping 5,Multiple,Win,2-0,Aug 3 18
NO EXECUTES,NO EXECUTES,Vendetta Gaming,Multiple,Loss,0-2,Aug 7 18
Hit Squad,Outrageously Old ...,Hit Squad,de_cache,Win,6-16,May 25 18
Hit Squad,nL,Hit Squad,de_inferno,Loss,16-8,May 26 18
Hit Squad,Hit Squad,Cloud9Academy,de_nuke,Win,19-16,Jun 2 18
Hit Squad,Hit Squad,CyberStormGG,de_cache,Win,16-9,Jun 4 18
Hit Squad,Midwest CSGO,Hit Squad,de_inferno,Loss,19-17,Jun 12 18
Hit Squad,Illini Esports Or...,Hit Squad,de_dust2,Win,9-16,Jun 13 18
Hit Squad,Hit Squad,Rabbi and the Alt...,de_inferno,Win,16-9,Jun 19 18
Hit Squad,Hit Squad,Exsilium Esports,de_dust2,Win,16-10,Jun 20 18
Hit Squad,Mother Puggers,Hit Squad,de_mirage,Win,6-16,Jun 21 18
Hit Squad,Hit Squad,UC Rejects CSGO,de_cache,Win,16-13,Jun 26 18
