"['Consistently Whiffs', 'Probably Panicking']",Jul 13 18,de_inferno
"['Consistently Whiffs', 'Falcons-GG']",Jul 16 18,de_train
"['Consistently Whiffs', 'Quixotic Reality']",Jul 27 18,Multiple
"['Consistently Whiffs', 'Hedgehogs']",Aug 3 18,Multiple
"['NO EXECUTES', 'The Myrmidons']",May 21 18,de_inferno
"['NO EXECUTES', 'Silent Assassins']",May 28 18,de_train
"['2 Pound Sandwich', 'NO EXECUTES']",May 29 18,de_mirage
"['Malice Gaming', 'NO EXECUTES']",Jun 4 18,de_cache
"['Mind Bending Perf...', 'NO EXECUTES']",Jun 5 18,de_inferno
"['La-Li-Lu-Le-Lo', 'NO EXECUTES']",Jun 9 18,de_nuke
"['But What If', 'NO EXECUTES']",Jun 15 18,de_inferno
"['NO EXECUTES', 'hitbox-']",Jun 18 18,de_cache
"['Lore', 'NO EXECUTES']",Jun 22 18,de_train
"['For The Community', 'NO EXECUTES']",Jun 25 18,de_dust2
"['NO EXECUTES', 'No Shift Nation']",Jun 27 18,de_inferno
"['Mobility-Gaming', 'NO EXECUTES']",Jul 2 18,de_cache
"['NO EXECUTES', 'bld']",Jul 9 18,de_mirage
"['Higher Power', 'NO EXECUTES']",Jul 12 18,de_inferno
"['Aerox-Esports', 'NO EXECUTES']",Jul 14 18,de_dust2
"['Empire', 'NO EXECUTES']",Jul 30 18,Multiple
"['NO EXECUTES', 'Table Flipping 5']",Aug 3 18,Multiple
"['Hit Squad', 'Outrageously Old ...']",May 25 18,de_cache
"['Hit Squad', 'nL']",May 26 18,de_inferno
"['Cloud9Academy', 'Hit Squad']",Jun 2 18,de_nuke
"['CyberStormGG', 'Hit Squad']",Jun 4 18,de_cache
"['Hit Squad', 'Illini Esports Or...']",Jun 13 18,de_dust2
"['Hit Squad', 'Rabbi and the Alt...']",Jun 19 18,de_inferno
"['Exsilium Esports', 'Hit Squad']",Jun 20 18,de_dust2
"['Hit Squad', 'Mother Puggers']",Jun 21 18,de_mirage
"['Hit Squad', 'UC Rejects CSGO']",Jun 26 18,de_cache
"['Hit Squad', 'Parrot Battalion']",Jun 28 18,de_mirage
"['Cat Squad Returns', 'Hit Squad']",Jul 1 18,de_dust2
"['Hit Squad', 'wat']",Jul 3 18,de_nuke
"['Hit Squad', 'PAW Patrol']",Jul 9 18,de_nuke
"['Hit Squad', 'Team Texas']",Jul 12 18,de_nuke
"['Hit Squad', 'VCU CSGO']",Jul 13 18,de_cache
"['Defy Rebellion', 'Hit Squad']",Jul 31 18,Multiple
"['Hit Squad', 'bld']",Aug 3 18,Multiple
"['LoS Pistoleros', 'SANLAN']",May 23 18,de_inferno
"['34', 'SANLAN']",May 25 18,de_nuke
"['Driven to Insanity', 'SANLAN']",May 31 18,de_dust2
"['PAW Patrol', 'SANLAN']",Jun 4 18,de_dust2
"['Cloud9Academy', 'SANLAN']",Jun 7 18,de_inferno
"['Polar Ace', 'SANLAN']",Jun 11 18,de_inferno
"['Looking for 0RG', 'SANLAN']",Jun 13 18,de_mirage
